time,x,y,z
33048,-8.25067,-0.66321,2.78454
33098,-7.50605,-0.67040,3.47888
33150,-8.01124,0.17957,2.89707
33199,-9.65132,0.03831,3.55310
33249,-6.53158,1.12770,3.20354
33299,-6.14131,1.86753,1.85556
33349,-6.33525,1.48924,1.57064
33399,-1.45093,2.09499,3.42381
33449,-8.04237,-0.76856,3.04073
33499,-3.06467,-3.55071,5.97850
33549,-7.16128,-6.12456,6.42863
33599,-8.56193,-7.52281,7.14691
33649,-8.78699,-4.99206,5.84203
33699,-10.79339,-3.43100,6.10301
33749,-6.39271,-4.82207,6.41666
33799,-4.71433,-5.20037,6.43102
33849,-9.08627,-4.67841,8.49968
33899,-10.34087,-4.07984,10.53002
33949,-10.81494,-5.14530,10.86043
34007,-9.27781,-4.80531,6.25385
34048,-10.13975,-4.47251,5.78457
34098,-10.84128,-4.80052,6.31131
34149,-11.91631,-3.12932,8.35602
34198,-9.71597,-0.49083,7.87956
34248,-8.98332,1.65684,6.10061
34299,-8.65530,-0.89067,2.75581
34349,-6.46694,-1.86275,1.88429
34399,-7.92026,-0.21070,1.64726
34449,-9.28021,-1.09179,1.19235
34499,-9.31852,-0.22506,0.52195
34549,-6.52919,0.09817,2.02316
34599,-9.54358,0.49561,3.89549
34649,-8.12138,1.07982,1.89627
34699,-7.57309,2.39427,-1.10376
34750,11.12380,0.80448,53.15769
34799,4.25223,2.72947,12.79022
34850,1.71191,2.76778,8.46855
34899,1.59698,2.37033,6.88833
34950,1.56586,2.08541,8.50446
35006,-1.06545,4.22829,7.24508
35049,2.28653,3.91225,8.62418
35098,2.92341,3.41902,8.40390
35150,2.92341,3.41902,8.40390
35200,2.06865,4.09182,12.28742
35249,1.20193,3.46452,9.14613
35298,0.67519,3.28973,9.31373
35349,0.57223,3.70634,10.09426
35398,1.34558,3.29452,10.42946
35449,-0.80687,2.54751,9.78540
35498,-0.79250,3.11016,10.45819
35549,-1.58022,3.66803,7.51802
35598,-0.05267,4.20195,8.93304
35649,0.67279,3.34720,8.52122
